Input the three parameters:
Result: 34.6237 78.0247 0.268941 0
Result: 30.2867 43.895 0.731059 0
Result: 35.8474 72.9022 0.268941 0
Result: 60.1826 86.3086 0.731059 1
Result: 79.0327 75.3444 0.731059 1
Result: 45.0833 56.3164 0.731059 0
Result: 61.1067 96.5114 0.731059 1
Result: 75.0247 46.554 0.731059 1
Result: 76.0988 87.4206 0.731059 1
Result: 84.4328 43.5334 0.731059 1
Result: 95.8616 38.2253 0.731059 0
Result: 75.0137 30.6033 0.731059 0
Result: 82.3071 76.482 0.731059 1
Result: 69.3646 97.7187 0.731059 1
Result: 39.5383 76.0368 0.268941 0
Result: 53.9711 89.2074 0.5 1
Result: 69.0701 52.7405 0.731059 1
Result: 67.9469 46.6786 0.731059 0
Result: 70.6615 92.9271 0.731059 1
Result: 76.9788 47.576 0.731059 1
Result: 67.372 42.8384 0.731059 0
Result: 89.6768 65.7994 0.731059 1
Result: 50.5348 48.8558 0.731059 0
Result: 34.2121 44.2095 0.731059 0
Result: 77.9241 68.9724 0.731059 1
Result: 62.271 69.9545 0.731059 1
Result: 80.1902 44.8216 0.731059 1
Result: 93.1144 38.8007 0.731059 0
Result: 61.8302 50.2561 0.731059 0
Result: 38.7858 64.9957 0.5 0
Result: 61.3793 72.8079 0.731059 1
Result: 85.4045 57.052 0.731059 1
Result: 52.108 63.1276 0.731059 0
Result: 52.0454 69.4329 0.731059 1
Result: 40.2369 71.1677 0.268941 0
Result: 54.6351 52.2139 0.731059 0
Result: 33.9155 98.8694 0.119203 0
Result: 64.177 80.9081 0.731059 1
Result: 74.7893 41.5734 0.731059 0
Result: 34.1836 75.2377 0.268941 0
Result: 83.9024 56.308 0.731059 1
Result: 51.5477 46.8563 0.731059 0
Result: 94.4434 65.5689 0.731059 1
Result: 82.3688 40.6183 0.731059 0
Result: 51.0478 45.8227 0.731059 0
Result: 62.2227 52.061 0.731059 0
Result: 77.193 70.4582 0.731059 1
Result: 97.7716 86.7278 0.731059 1
Result: 62.0731 96.7688 0.731059 1
Result: 91.565 88.6963 0.731059 1
Result: 79.9448 74.1631 0.731059 1
Result: 99.2725 60.999 0.731059 1
Result: 90.5467 43.3906 0.731059 1
Result: 34.5245 60.3963 0.268941 0
Result: 50.2865 49.8045 0.731059 0
Result: 49.5867 59.809 0.731059 0
Result: 97.6456 68.8616 0.731059 1
Result: 32.5772 95.5985 0.119203 0
Result: 74.2487 69.8246 0.731059 1
Result: 71.7965 78.4536 0.731059 1
Result: 75.3956 85.7599 0.731059 1
Result: 35.2861 47.0205 0.731059 0
Result: 56.2538 39.2615 0.731059 0
Result: 30.0588 49.593 0.5 0
Result: 44.6683 66.4501 0.731059 0
Result: 66.5609 41.0921 0.731059 0
Result: 40.4576 97.5352 0.119203 1
Result: 49.0726 51.8832 0.731059 0
Result: 80.2796 92.1161 0.731059 1
Result: 66.7467 60.9914 0.731059 1
Result: 32.7228 43.3072 0.731059 0
Result: 64.0393 78.0317 0.731059 1
Result: 72.3465 96.2276 0.731059 1
Result: 60.4579 73.095 0.731059 1
Result: 58.841 75.8584 0.731059 1
Result: 99.8279 72.3693 0.731059 1
Result: 47.2643 88.4759 0.268941 1
Result: 50.4582 75.8099 0.731059 1
Result: 60.4556 42.5084 0.731059 0
Result: 82.2267 42.7199 0.731059 0
Result: 88.9139 69.8038 0.731059 1
Result: 94.8345 45.6943 0.731059 1
Result: 67.3193 66.5894 0.731059 1
Result: 57.2387 59.5143 0.731059 1
Result: 80.3668 90.9601 0.731059 1
Result: 68.4685 85.5943 0.731059 1
Result: 42.0755 78.8448 0.268941 0
Result: 75.4777 90.4245 0.731059 1
Result: 78.6354 96.6474 0.731059 1
Result: 52.348 60.7695 0.731059 0
Result: 94.0943 77.1591 0.731059 1
Result: 90.4486 87.5088 0.731059 1
Result: 55.4822 35.5707 0.731059 0
Result: 74.4927 84.8451 0.731059 1
Result: 89.8458 45.3583 0.731059 1
Result: 83.4892 48.3803 0.731059 1
Result: 42.2617 87.1039 0.268941 1
Result: 99.315 68.7754 0.731059 1
Result: 55.34 64.9319 0.731059 1
Result: 74.7759 89.5298 0.731059 1
Result: 74.7759 89.5298 0.731059 1
